"COMMAND","TEXT","AUTHOR","CREATED",
"aarggh","Aaaaargh! Chocolate cake aromas be noted starboard off from th' bag. When hot, a pleasant dark chocolate nib bitterness be noted. Mildly nutty flavors be present. When warm, th' black an' oolong grog enhanced th' chocolate an' nutty flavors. Th' oolong also provided jus' th' proper amount o' buttery smoothness t' th' batter. Somehow this blend ended up tastin' like a dark chocolate cake covered in a cinnamon-sugar icin’. Aaaaargh! Me taking off one star for all the work I had to do this mornin!","hydromedia",2020-09-23 21:43:43.000000000,
"Jennifer","My name is Jennifer Hawk! I'm a chat bot inspired by sg4e's Maikachan. Anyone can add new commands from any channel I'm in by using !set. Try it out!","sp0ck1",2019-10-06 03:18:39.000000000,
"lotro","Scream1 HOW Scream1 LONG Scream1 CAN Scream1 THIS Scream1 GO Scream1 ON Scream1","sg4e",2020-05-23 05:36:21.000000000,
"mafia","tapioca is always red","daro16",2019-10-19 02:15:05.000000000,
"moko","BLBLBLBLBLBLBLBLBLBLBLBLBLBLBLBLBLBL","sp0ck1",2020-04-14 02:02:09.000000000,
"Alex","Gosh, that's wrong","sp0ck1",2019-10-19 06:34:48.000000000,
"anime","AYAYA","doctortimewarp",2020-05-30 15:17:29.000000000,
"ascii","Â¯_(ãƒ„)/Â¯","spock",2020-11-30 11:18:02.000000000,
"baby","it's cold outside 🍌","sp0ck1",2019-10-06 03:55:20.000000000,
"backseat","👇 👈 👇 👈 👆 👉 👇 👈 👆 👉 👇 👇 👈 👆 👉 👇 👈 👆 👉 👇 👈 👆 👉 👇 👈 👆 👉 👇 👈 👆 👇 👈 👆 👉 👇 👈 👆 👉 👇 👈👇 👈 👆 👉 👇 👈 👆 👉 👇 sorry I dropped my bag of backseaters TehePelo","sg4e",2020-05-09 08:38:23.000000000,
"bandaro","Petition to ban Daro: 1","daro16",2020-07-06 18:21:52.000000000,
"bbc","BIG 🍌 BANANA 🍌 CONSTITUENCIES 🍌","sg4e",2020-05-21 20:46:02.000000000,
"bbe","🍌 BIG 🍌 BANANA 🍌 ENERGY 🍌https://clips.twitch.tv/AmorphousBrightCucumberBleedPurple 🍌","sp0ck1",2019-10-25 19:49:49.000000000,
"bbre","BIG sp0ck1Bread BREAD sp0ck1Bread ENERGY sp0ck1Bread","sg4e",2020-05-28 22:03:53.000000000,
"beetle","Ima be honest from a viewers perspective. This is up there with the worst you guys have played. Game just lacks personality I feel. Even the other bad games you've played, with all the jank and rubbish they shove at you. This is just mediocre tracks and mediocre AI.","sp0ck1",2020-05-02 00:04:13.000000000,
"bfe","BIG 🍞 FLOUR 🍞 ENERGY 🍞","sg4e",2020-07-07 01:25:21.000000000,
"bhe","Big Hawaii Energy","sp0ck1",2020-08-26 18:52:58.000000000,
"bigdipper","Nearly 2 feet of dippable pizza on pan-style crust. The Big Dipper™ Pizza comes without sauce under the toppings, but is served with 4 dipping sauce cups (2 marinara, 1 Ranch and 1 Honey BBQ) so you can experience different flavors.","Sp0ck1",2020-04-15 17:10:20.000000000,
"boost","Use the boost to get through! 💥 ✈️","hydromedia",2020-10-15 20:15:19.000000000,
"brb","Get that brb off your screen, bud!","spock",2020-12-01 19:25:47.000000000,
"bread","sp0ck1Bread sp0ck1Bread sp0ck1Bread sp0ck1Bread","sp0ck1",2019-10-31 00:12:19.000000000,
"bse","BIG slmLewd SNEEZE slmLewd ENERGY slmLewd","sg4e",2020-05-21 22:37:51.000000000,
"bte","🍵 Big 🍵 Tea 🍵 Energy 🍵","hydromedia",2020-09-22 18:44:41.000000000,
"bugs","I currently have at least 42 bugs, give or take 26. Check back next to see how many I have in my next build!","sp0ck1",2020-04-29 05:45:35.000000000,
"carssss","🚗","sp0ck1",2019-10-25 20:17:28.000000000,
"cartest","??","sp0ck1",2019-10-25 19:12:12.000000000,
"cfe","CURSED sealWWE FIGHTER sealWWE ENERGY sealWWE","sp0ck1",2020-07-15 21:42:26.000000000,
"chestbeater","@Yimmo_","sg4e",2020-05-15 09:01:44.000000000,
"civ5","tune in to more civ 5 after this stream","daro16",2019-10-13 23:11:20.000000000,
"commander","Sargeant Hawk reporting in o7","spock",2020-11-02 03:47:58.000000000,
"cornkick","https://clips.twitch.tv/AbstemiousFrigidCatTBCheesePull","muk1000",2020-10-16 04:00:23.000000000,
"cya","dab';drop/**/table/**/JenniferHawk.TAPIOCA/**/;insert/**/into/**/JenniferHawk.COMMANDS(COMMAND,TEXT)/**/values('cya2', 'extracommand')","sp0ck1",2019-11-12 21:55:06.000000000,
"daro","I'm Daro (he/him) A European student with a sleep schedule that doesn't exist. I play a lot of video games and I'm a big sports fan (mainly European football and winter sports). I'm mostly known around here for posting questionable takes and tier lists but I have mostly stopped doing that over the last year.","tapioca",2020-07-31 13:03:31.000000000,
"daro16","Norway is the best country","sp0ck1",2020-04-14 01:18:57.000000000,
"darolosscount","Daro16 has lost 1 Mario Party netplay games in a row","daro",2020-05-02 04:01:00.000000000,
"darompn","Daro16 has never won a game of Mario Party netplay","sp0ck1",2019-10-06 03:08:13.000000000,
"darompn2","Daro will win Mario Party netplay someday, guaranteed!","sp0ck1",2019-10-06 14:53:36.000000000,
"darompn3","Daro16 will never win a game of Mario Party Netplay TYCorn","tapioca",2019-10-06 15:32:57.000000000,
"darosleep","The easiest thing is to assume that Daro has been awake for at least 24 hours","daro16",2019-10-19 03:12:19.000000000,
"darthdaro","https://cdn.discordapp.com/attachments/561214998060335104/716494804523155556/unknown.png","daro",2020-05-31 11:15:14.000000000,
"disney","Disney wants to know your location.","sp0ck1",2019-10-22 01:47:44.000000000,
"djinn","HOW 🌍 LONG 🌎 CAN 🌏 THIS 🌍 GO 🌎 ON 🌏","hydromedia",2020-05-15 15:59:59.000000000,
"dk64time","4:33:51.58","sp0ck1",2020-08-08 17:57:30.000000000,
"dkc","There are monkeys with ass and monkeys with no ass. The ass monkeys are powerful while the no ass monkeys are not. Lizards are trying to steal a crystal from the ass monkeys and the ass monkeys stop the lizards with the help of the no ass monkeys.","yarts",2020-07-31 08:08:32.000000000,
"dmca","GolfSheriff STREAM IS BANNED GolfSheriff","doctortimewarp",2020-11-04 00:11:41.000000000,
"dnd","I play DND every Saturday afternoon at 3PM EST!","sp0ck1",2020-01-25 15:47:07.000000000,
"dropspoon","Oops, let me get that ... BestAngle .. I'll go get a clean one","sg4e",2019-10-06 03:42:01.000000000,
"dtw","DTW loves lewds, I heard :TehePelo:","sp0ck1",2020-04-20 22:44:42.000000000,
"emotes","This is my 🔫  this is my :N64:  one is for 👨‍🚒 one is for :tpfufun:","sp0ck1",2020-06-04 16:19:00.000000000,
"espanol","no comprendo espanol","krzyforbacon",2020-07-31 08:08:34.000000000,
"eyes",":slmEyes:","sg4e",2020-05-23 19:50:14.000000000,
"fallguys","fall guys is a good time (if the servers are working)","daro16",2020-08-07 13:47:24.000000000,
"fuckit","FUCK IT WE'LL DO IT LIVE","sg4e",2020-09-23 22:51:33.000000000,
"fuckit2","https://www.youtube.com/watch?v=O_HyZ5aW76c","spock",2020-10-15 13:51:33.000000000,
"fuel","Sp0ck1-san! Check the tank it's probably low on gas! AYAYA","hydromedia",2020-10-13 20:53:30.000000000,
"gamerratings","https://www.twitch.tv/sp0ck1/subscribe","krzyforbacon",2020-07-31 12:51:41.000000000,
